text,label,signal
I often save little from my income,Mild_Stress,low_savings
I usually manage my monthly income,Mild_Stress,income_pressure
Sometimes I save my income,No_Stress,savings_habit
I struggle to build my savings,Mild_Stress,low_savings
I often add to my portfolio,No_Stress,investment
I build my savings,No_Stress,savings_habit
I try to stretch my salary,Mild_Stress,income_pressure
I overspend on shopping,Mild_Stress,overspending
I often build my savings,No_Stress,savings_habit
I grow my investments,No_Stress,investment
Sometimes I buy unnecessary items,Mild_Stress,overspending
I usually struggle to build my savings,Mild_Stress,low_savings
I panic about my loan balance,High_Stress,loan_pressure
I usually cannot pay my credit card bill,High_Stress,debt
I struggle with buying unnecessary items,Mild_Stress,overspending
I track my expenses,No_Stress,financial_control
I cannot pay my credit card bill,High_Stress,debt
I struggle to manage my budget,Mild_Stress,income_pressure
Sometimes I track my expenses,No_Stress,financial_control
Sometimes I set aside money,No_Stress,savings_habit
I worry about my loan repayment,High_Stress,loan_pressure
Sometimes I try to stretch my salary,Mild_Stress,income_pressure
I usually monitor my spending,No_Stress,financial_control
I often overspend on shopping,Mild_Stress,overspending
I struggle with debt,High_Stress,debt
I often struggle with debt,High_Stress,debt
Sometimes I lack cash reserves,High_Stress,cash_shortage
I save little from my income,Mild_Stress,low_savings
I run out of money,High_Stress,cash_shortage
Sometimes I save little from my income,Mild_Stress,low_savings
Sometimes I manage my budget,No_Stress,financial_control
Sometimes I invest my earnings,No_Stress,investment
I usually save little from my income,Mild_Stress,low_savings
I usually set aside money,No_Stress,savings_habit
I often set aside money,No_Stress,savings_habit
I often miss my loan payment,High_Stress,debt
Sometimes I adjust my budget,Mild_Stress,income_pressure
I build my savings,No_Stress,savings_habit
Sometimes I cannot pay my credit card bill,High_Stress,debt
Sometimes I overspend on shopping,Mild_Stress,overspending
Sometimes I manage my monthly income,Mild_Stress,income_pressure
I usually overspend on shopping,Mild_Stress,overspending
I often monitor my spending,No_Stress,financial_control
I struggle to save my income,Mild_Stress,low_savings
I struggle to set aside money,Mild_Stress,low_savings
I find it difficult to add to my investment portfolio,Mild_Stress,investment
I struggle to adjust my budget,Mild_Stress,income_pressure
I buy unnecessary items,Mild_Stress,overspending
